motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID	name_IG
M03193_2.00	AC0001	GBX1_1	GBX1	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03201_2.00	AC0001	GBX2_1	GBX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03204_2.00	AC0001	SHOX2_1	SHOX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03210_2.00	AC0001	EMX2_1	EMX2	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03219_2.00	AC0001	ISX_2	ISX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03220_2.00	AC0001	ISX_3	ISX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03232_2.00	AC0001	SHOX_1	SHOX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03235_2.00	AC0001	BSX_1	BSX	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03241_2.00	AC0001	NOTO_1	NOTO	Homeodomain	SELEX	23332764	HOX/LHX/DLX
M03295_2.00	AC0001	PAX4_1	PAX4	"Homeodomain,Paired box"	SELEX	23332764	HOX/LHX/DLX
M03296_2.00	AC0001	PAX4_2	PAX4	"Homeodomain,Paired box"	SELEX	23332764	HOX/LHX/DLX
M03305_2.00	AC0001	POU6F2_3	POU6F2	"Homeodomain,POU"	SELEX	23332764	HOX/LHX/DLX
M04613_2.00	AC0001	ZSCAN23_eDBD_HT-SELEX	ZSCAN23	C2H2 ZF	SELEX	28473536	HOX/LHX/DLX
M04614_2.00	AC0001	ZSCAN23_eDBD_Methyl-HT-SELEX	ZSCAN23	C2H2 ZF	SELEX	28473536	HOX/LHX/DLX
M04895_2.00	AC0001	ARX_eDBD_HT-SELEX	ARX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04902_2.00	AC0001	MEOX1_FL_HT-SELEX_2	MEOX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04904_2.00	AC0001	MEOX1_FL_Methyl-HT-SELEX_2	MEOX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04905_2.00	AC0001	DLX6_eDBD_HT-SELEX	DLX6	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04907_2.00	AC0001	DLX6_eDBD_Methyl-HT-SELEX_2	DLX6	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04912_2.00	AC0001	HOXC8_FL_HT-SELEX	HOXC8	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04917_2.00	AC0001	ALX4_eDBD_HT-SELEX	ALX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04918_2.00	AC0001	ALX4_eDBD_Methyl-HT-SELEX_1	ALX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04922_2.00	AC0001	DLX3_eDBD_HT-SELEX	DLX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04924_2.00	AC0001	DLX3_eDBD_Methyl-HT-SELEX_2	DLX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04925_2.00	AC0001	DLX3_FL_HT-SELEX	DLX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04927_2.00	AC0001	DLX3_FL_Methyl-HT-SELEX_2	DLX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04936_2.00	AC0001	LHX5_FL_HT-SELEX	LHX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04938_2.00	AC0001	LHX5_FL_Methyl-HT-SELEX_2	LHX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04941_2.00	AC0001	VSX1_eDBD_HT-SELEX	VSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04944_2.00	AC0001	VSX1_FL_HT-SELEX	VSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04945_2.00	AC0001	VSX1_FL_Methyl-HT-SELEX_1	VSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04953_2.00	AC0001	DLX5_eDBD_HT-SELEX	DLX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04955_2.00	AC0001	DLX5_eDBD_Methyl-HT-SELEX_2	DLX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04956_2.00	AC0001	DLX5_FL_HT-SELEX	DLX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04958_2.00	AC0001	DLX5_FL_Methyl-HT-SELEX_2	DLX5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04959_2.00	AC0001	HOXA1_FL_HT-SELEX	HOXA1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04960_2.00	AC0001	HOXA1_FL_Methyl-HT-SELEX_1	HOXA1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04962_2.00	AC0001	HOXA2_eDBD_HT-SELEX	HOXA2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04963_2.00	AC0001	HOXA2_eDBD_Methyl-HT-SELEX_1	HOXA2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04965_2.00	AC0001	HOXA2_FL_HT-SELEX	HOXA2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04966_2.00	AC0001	HOXA2_FL_Methyl-HT-SELEX_1	HOXA2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04968_2.00	AC0001	HOXA5_eDBD_HT-SELEX	HOXA5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04969_2.00	AC0001	HOXA5_eDBD_Methyl-HT-SELEX_1	HOXA5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04971_2.00	AC0001	HOXA5_FL_HT-SELEX	HOXA5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04972_2.00	AC0001	HOXA5_FL_Methyl-HT-SELEX_1	HOXA5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04985_2.00	AC0001	EVX1_eDBD_HT-SELEX	EVX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04986_2.00	AC0001	EVX1_eDBD_Methyl-HT-SELEX_1	EVX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04989_2.00	AC0001	MEOX2_FL_HT-SELEX_2	MEOX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04991_2.00	AC0001	MEOX2_FL_Methyl-HT-SELEX_2	MEOX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04992_2.00	AC0001	LHX6_FL_HT-SELEX_1	LHX6	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M04994_2.00	AC0001	LHX6_FL_Methyl-HT-SELEX_1	LHX6	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05002_2.00	AC0001	DLX4_eDBD_HT-SELEX	DLX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05004_2.00	AC0001	DLX4_eDBD_Methyl-HT-SELEX_2	DLX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05005_2.00	AC0001	DLX4_FL_HT-SELEX	DLX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05007_2.00	AC0001	DLX4_FL_Methyl-HT-SELEX_2	DLX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05008_2.00	AC0001	PHOX2B_eDBD_HT-SELEX	PHOX2B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05009_2.00	AC0001	PHOX2B_eDBD_Methyl-HT-SELEX	PHOX2B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05020_2.00	AC0001	TLX2_eDBD_HT-SELEX	TLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05021_2.00	AC0001	TLX2_eDBD_Methyl-HT-SELEX	TLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05026_2.00	AC0001	DLX2_eDBD_HT-SELEX	DLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05027_2.00	AC0001	DLX2_eDBD_Methyl-HT-SELEX	DLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05028_2.00	AC0001	DLX2_FL_HT-SELEX	DLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05029_2.00	AC0001	DLX2_FL_Methyl-HT-SELEX	DLX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05030_2.00	AC0001	VAX2_FL_HT-SELEX	VAX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05031_2.00	AC0001	VAX2_FL_Methyl-HT-SELEX	VAX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05036_2.00	AC0001	VSX2_eDBD_HT-SELEX	VSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05037_2.00	AC0001	VSX2_eDBD_Methyl-HT-SELEX_1	VSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05039_2.00	AC0001	VSX2_FL_HT-SELEX	VSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05041_2.00	AC0001	VSX2_FL_Methyl-HT-SELEX_2	VSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05048_2.00	AC0001	HOXB8_eDBD_HT-SELEX	HOXB8	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05051_2.00	AC0001	HOXB5_eDBD_HT-SELEX	HOXB5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05052_2.00	AC0001	HOXB5_eDBD_Methyl-HT-SELEX_1	HOXB5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05054_2.00	AC0001	HOXB5_FL_HT-SELEX	HOXB5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05055_2.00	AC0001	HOXB5_FL_Methyl-HT-SELEX_1	HOXB5	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05057_2.00	AC0001	HOXB1_eDBD_HT-SELEX	HOXB1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05058_2.00	AC0001	HOXB1_eDBD_Methyl-HT-SELEX_1	HOXB1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05060_2.00	AC0001	MSX2_eDBD_HT-SELEX	MSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05061_2.00	AC0001	MSX2_eDBD_Methyl-HT-SELEX_1	MSX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05063_2.00	AC0001	LHX4_eDBD_HT-SELEX	LHX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05064_2.00	AC0001	LHX4_eDBD_Methyl-HT-SELEX_1	LHX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05066_2.00	AC0001	LHX4_FL_HT-SELEX	LHX4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05069_2.00	AC0001	HOXA7_eDBD_HT-SELEX	HOXA7	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05070_2.00	AC0001	HOXA7_eDBD_Methyl-HT-SELEX_1	HOXA7	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05087_2.00	AC0001	ESX1_eDBD_HT-SELEX	ESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05088_2.00	AC0001	ESX1_eDBD_Methyl-HT-SELEX	ESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05089_2.00	AC0001	ESX1_FL_HT-SELEX	ESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05090_2.00	AC0001	ESX1_FL_Methyl-HT-SELEX	ESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05098_2.00	AC0001	HOXD1_eDBD_HT-SELEX	HOXD1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05099_2.00	AC0001	HOXD1_eDBD_Methyl-HT-SELEX_1	HOXD1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05101_2.00	AC0001	HOXD3_FL_HT-SELEX	HOXD3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05103_2.00	AC0001	HOXD3_FL_Methyl-HT-SELEX_2	HOXD3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05126_2.00	AC0001	MNX1_eDBD_HT-SELEX	MNX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05128_2.00	AC0001	MNX1_eDBD_Methyl-HT-SELEX_2	MNX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05142_2.00	AC0001	RAX_eDBD_HT-SELEX	RAX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05145_2.00	AC0001	EMX1_eDBD_HT-SELEX	EMX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05146_2.00	AC0001	EMX1_eDBD_Methyl-HT-SELEX	EMX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05147_2.00	AC0001	EMX1_FL_HT-SELEX	EMX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05148_2.00	AC0001	EMX1_FL_Methyl-HT-SELEX	EMX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05153_2.00	AC0001	LMX1B_eDBD_HT-SELEX	LMX1B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05154_2.00	AC0001	LMX1B_eDBD_Methyl-HT-SELEX_1	LMX1B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05156_2.00	AC0001	LMX1B_FL_HT-SELEX	LMX1B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05158_2.00	AC0001	LMX1B_FL_Methyl-HT-SELEX_2	LMX1B	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05161_2.00	AC0001	PDX1_eDBD_HT-SELEX	PDX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05163_2.00	AC0001	PDX1_eDBD_Methyl-HT-SELEX_2	PDX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05170_2.00	AC0001	LHX9_eDBD_HT-SELEX	LHX9	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05171_2.00	AC0001	LHX9_eDBD_Methyl-HT-SELEX_1	LHX9	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05173_2.00	AC0001	LHX9_FL_HT-SELEX	LHX9	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05174_2.00	AC0001	LHX9_FL_Methyl-HT-SELEX_1	LHX9	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05176_2.00	AC0001	DLX1_eDBD_HT-SELEX	DLX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05177_2.00	AC0001	DLX1_eDBD_Methyl-HT-SELEX	DLX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05178_2.00	AC0001	DLX1_FL_HT-SELEX	DLX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05179_2.00	AC0001	DLX1_FL_Methyl-HT-SELEX	DLX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05182_2.00	AC0001	VAX1_eDBD_HT-SELEX	VAX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05183_2.00	AC0001	VAX1_eDBD_Methyl-HT-SELEX	VAX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05184_2.00	AC0001	NKX6-2_eDBD_HT-SELEX	NKX6-2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05185_2.00	AC0001	NKX6-2_eDBD_Methyl-HT-SELEX	NKX6-2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05195_2.00	AC0001	ALX3_eDBD_HT-SELEX	ALX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05198_2.00	AC0001	ALX3_FL_HT-SELEX	ALX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05199_2.00	AC0001	ALX3_FL_Methyl-HT-SELEX_1	ALX3	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05210_2.00	AC0001	LHX8_FL_HT-SELEX_1	LHX8	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05212_2.00	AC0001	LHX8_FL_Methyl-HT-SELEX_1	LHX8	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05215_2.00	AC0001	LMX1A_eDBD_HT-SELEX	LMX1A	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05217_2.00	AC0001	LMX1A_eDBD_Methyl-HT-SELEX_2	LMX1A	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05218_2.00	AC0001	EN1_eDBD_HT-SELEX	EN1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05220_2.00	AC0001	EN1_eDBD_Methyl-HT-SELEX_2	EN1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05221_2.00	AC0001	MSX1_eDBD_HT-SELEX	MSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05222_2.00	AC0001	MSX1_eDBD_Methyl-HT-SELEX_1	MSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05224_2.00	AC0001	MSX1_FL_HT-SELEX	MSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05225_2.00	AC0001	MSX1_FL_Methyl-HT-SELEX_1	MSX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05227_2.00	AC0001	HESX1_FL_HT-SELEX	HESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05228_2.00	AC0001	HESX1_FL_Methyl-HT-SELEX	HESX1	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05237_2.00	AC0001	EN2_eDBD_HT-SELEX	EN2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05239_2.00	AC0001	EN2_eDBD_Methyl-HT-SELEX_2	EN2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05244_2.00	AC0001	PHOX2A_eDBD_HT-SELEX	PHOX2A	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05245_2.00	AC0001	PHOX2A_eDBD_Methyl-HT-SELEX	PHOX2A	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05253_2.00	AC0001	DRGX_eDBD_HT-SELEX	DRGX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05259_2.00	AC0001	PRRX2_eDBD_HT-SELEX_2	PRRX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05261_2.00	AC0001	PRRX2_eDBD_Methyl-HT-SELEX_2	PRRX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05262_2.00	AC0001	PRRX2_FL_HT-SELEX	PRRX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05263_2.00	AC0001	PRRX2_FL_Methyl-HT-SELEX_1	PRRX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05265_2.00	AC0001	GBX2_eDBD_HT-SELEX	GBX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05267_2.00	AC0001	GBX2_eDBD_Methyl-HT-SELEX_2	GBX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05268_2.00	AC0001	GBX2_FL_HT-SELEX	GBX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05269_2.00	AC0001	GBX2_FL_Methyl-HT-SELEX_1	GBX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05273_2.00	AC0001	HOXD4_eDBD_HT-SELEX	HOXD4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05274_2.00	AC0001	HOXD4_eDBD_Methyl-HT-SELEX_1	HOXD4	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05281_2.00	AC0001	EMX2_eDBD_HT-SELEX	EMX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05292_2.00	AC0001	HOXB2_eDBD_HT-SELEX	HOXB2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05293_2.00	AC0001	HOXB2_eDBD_Methyl-HT-SELEX_1	HOXB2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05295_2.00	AC0001	EVX2_eDBD_HT-SELEX	EVX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05296_2.00	AC0001	EVX2_eDBD_Methyl-HT-SELEX_1	EVX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05304_2.00	AC0001	ISX_eDBD_HT-SELEX	ISX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05305_2.00	AC0001	ISX_eDBD_Methyl-HT-SELEX_1	ISX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05307_2.00	AC0001	ISX_FL_HT-SELEX	ISX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05308_2.00	AC0001	ISX_FL_Methyl-HT-SELEX_1	ISX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05310_2.00	AC0001	HOXD8_eDBD_HT-SELEX	HOXD8	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05323_2.00	AC0001	LBX2_eDBD_HT-SELEX_3	LBX2	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05366_2.00	AC0001	SHOX_eDBD_HT-SELEX	SHOX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05367_2.00	AC0001	SHOX_eDBD_Methyl-HT-SELEX_1	SHOX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05369_2.00	AC0001	ARGFX_eDBD_HT-SELEX_1	ARGFX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05371_2.00	AC0001	ARGFX_eDBD_Methyl-HT-SELEX_1	ARGFX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05378_2.00	AC0001	BSX_eDBD_HT-SELEX_2	BSX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05380_2.00	AC0001	BSX_eDBD_Methyl-HT-SELEX_2	BSX	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05390_2.00	AC0001	NOTO_eDBD_HT-SELEX	NOTO	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05391_2.00	AC0001	NOTO_eDBD_Methyl-HT-SELEX	NOTO	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05404_2.00	AC0001	HOXB7_eDBD_HT-SELEX	HOXB7	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05405_2.00	AC0001	HOXB7_eDBD_Methyl-HT-SELEX_1	HOXB7	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05407_2.00	AC0001	HOXB7_FL_HT-SELEX	HOXB7	Homeodomain	SELEX	28473536	HOX/LHX/DLX
M05739_2.00	AC0001	SKOR2_eDBD_HT-SELEX	SKOR2	SAND	SELEX	28473536	HOX/LHX/DLX
M05740_2.00	AC0001	SKOR2_eDBD_Methyl-HT-SELEX	SKOR2	SAND	SELEX	28473536	HOX/LHX/DLX
M05829_2.00	AC0001	SKOR1_eDBD_HT-SELEX	SKOR1	Unknown	SELEX	28473536	HOX/LHX/DLX
M05830_2.00	AC0001	SKOR1_eDBD_Methyl-HT-SELEX	SKOR1	Unknown	SELEX	28473536	HOX/LHX/DLX
M05869_2.00	AC0001	VSX1	VSX1	Homeodomain	SMiLE-seq	28092692	HOX/LHX/DLX
M05870_2.00	AC0001	LHX6	LHX6	Homeodomain	SMiLE-seq	28092692	HOX/LHX/DLX
M05871_2.00	AC0001	EN1	EN1	Homeodomain	SMiLE-seq	28092692	HOX/LHX/DLX
M09129_2.00	AC0001	DLX3_HUMAN.H11MO.0.C	DLX3	Homeodomain	Misc	23175603	HOX/LHX/DLX
